method,filter,dataset,seed,delta,avg_ms,avg_candidates
lebq,none,lastfm1k,2,0.5,62.4911,548063
lebq,none,lastfm1k,2,0.6,22.9727,115546
lebq,none,lastfm1k,2,0.7,9.7763,60390
lebq,none,lastfm1k,2,0.8,5.53001,45775.3
lebq,none,lastfm1k,2,0.9,2.54014,36424.9
lebq,sbdf,lastfm1k,2,0.5,59.5764,539013
lebq,sbdf,lastfm1k,2,0.6,23.0541,108163
lebq,sbdf,lastfm1k,2,0.7,8.44408,53100.6
lebq,sbdf,lastfm1k,2,0.8,4.11406,40015.8
lebq,sbdf,lastfm1k,2,0.9,2.00386,35554
lebq,cbdf,lastfm1k,2,0.5,19.1376,119315
lebq,cbdf,lastfm1k,2,0.6,5.05181,42234.5
lebq,cbdf,lastfm1k,2,0.7,2.55901,36207.1
lebq,cbdf,lastfm1k,2,0.8,2.12323,35534.6
lebq,cbdf,lastfm1k,2,0.9,1.89081,35452.1
lebq+,none,lastfm1k,2,0.5,40.5332,273554
lebq+,none,lastfm1k,2,0.6,20.5828,106088
lebq+,none,lastfm1k,2,0.7,9.35346,56436
lebq+,none,lastfm1k,2,0.8,3.97929,39801.6
lebq+,none,lastfm1k,2,0.9,2.23844,35964.4
lebq+,sbdf,lastfm1k,2,0.5,38.0911,254288
lebq+,sbdf,lastfm1k,2,0.6,18.1858,94875.3
lebq+,sbdf,lastfm1k,2,0.7,7.82351,49600.7
lebq+,sbdf,lastfm1k,2,0.8,3.13491,37340.4
lebq+,sbdf,lastfm1k,2,0.9,1.98149,35517.4
lebq+,cbdf,lastfm1k,2,0.5,10.024,86292.2
lebq+,cbdf,lastfm1k,2,0.6,3.5171,39112.4
lebq+,cbdf,lastfm1k,2,0.7,2.44404,35939.7
lebq+,cbdf,lastfm1k,2,0.8,1.92492,35475.7
lebq+,cbdf,lastfm1k,2,0.9,1.82321,35451.8
lebq,none,lastfm1k,0,0.5,58.5538,549265
lebq,none,lastfm1k,0,0.6,23.0735,116275
lebq,none,lastfm1k,0,0.7,9.63209,60998.2
lebq,none,lastfm1k,0,0.8,5.50017,45746.9
lebq,none,lastfm1k,0,0.9,2.48213,36963.4
lebq,sbdf,lastfm1k,0,0.5,57.571,540017
lebq,sbdf,lastfm1k,0,0.6,21.7718,109143
lebq,sbdf,lastfm1k,0,0.7,7.94574,53375.5
lebq,sbdf,lastfm1k,0,0.8,3.90073,40326.7
lebq,sbdf,lastfm1k,0,0.9,2.01572,36159
lebq,cbdf,lastfm1k,0,0.5,18.3588,117871
lebq,cbdf,lastfm1k,0,0.6,5.08661,43118.5
lebq,cbdf,lastfm1k,0,0.7,2.55086,36774.5
lebq,cbdf,lastfm1k,0,0.8,2.03902,36141.5
lebq,cbdf,lastfm1k,0,0.9,1.90706,36060.8
lebq+,none,lastfm1k,0,0.5,40.5816,269795
lebq+,none,lastfm1k,0,0.6,20.3264,106451
lebq+,none,lastfm1k,0,0.7,8.85222,57293.5
lebq+,none,lastfm1k,0,0.8,3.86121,40554.9
lebq+,none,lastfm1k,0,0.9,2.18931,36535.7
lebq+,sbdf,lastfm1k,0,0.5,37.2611,250103
lebq+,sbdf,lastfm1k,0,0.6,17.4091,94561.7
lebq+,sbdf,lastfm1k,0,0.7,6.94903,49843.7
lebq+,sbdf,lastfm1k,0,0.8,3.01243,37852.1
lebq+,sbdf,lastfm1k,0,0.9,1.94263,36122.7
lebq+,cbdf,lastfm1k,0,0.5,9.66138,85546.9
lebq+,cbdf,lastfm1k,0,0.6,3.62392,39753.4
lebq+,cbdf,lastfm1k,0,0.7,2.33355,36524.3
lebq+,cbdf,lastfm1k,0,0.8,1.94725,36085.8
lebq+,cbdf,lastfm1k,0,0.9,1.87182,36060.6
